enrichment_name,score_directionality,Name & Short Definition
Consumption Identity Index,"0 = Utilitarian → function-first, reviews, minimalism. 1 = Symbolic/identity-driven → aesthetics, signaling, niche brand loyalty.
Impact: Predicts whether messaging should highlight features or meaning.",
Age Perception Index,"0 = Self-perceived younger → youth culture, memes, gaming. 1 = Self-perceived older → retirement planning, nostalgia, stability.
Impact: Frames messages around newness/fun vs. stability/legacy.",
Civic Identity Spectrum,"0 = Apolitical/disengaged → entertainment focus, low civic activity. 1 = Civic-oriented / political → activism, policy debates, NGO/volunteer involvement
Impact: Directly predicts responsiveness to political vs. apolitical lifestyle messaging.",
Security vs. Adventure Orientation,"0 = Risk-averse / safety-seeking → insurance, reliability, homebody signals. 1 = Adventure-seeking / novelty-driven → travel, extreme sports, crypto
Impact: Frames messages as safe & secure vs. exciting & novel.",
Work Orientation Index,"0 = Stability-first worker → long-term employment, union affiliation, government jobs. 1 = Hustle/entrepreneurial mindset → startups, gig economy, growth obsession.
Impact: Messaging can target security & loyalty vs. innovation & independence.",
Dependence vs. Independence Index,"0 = Dependent → reliance on government programs, extended family support, reliance on institutions. 1 = Independent → DIY culture, self-employment, self-sovereign finance (crypto, gig work).
Impact: Predicts appeal of support-based messaging vs. self-reliance / empowerment framing.",
Consumption Horizon Model,"0 = Short-termist → paycheck-to-paycheck, daily deals, fast food, instant gratification. 1 = Long-termist → investments, delayed gratification, retirement planning, education focus.
Impact: Messaging resonates better as “quick wins now” vs. “secure your future.”",
Belonging vs. Outsider Identity,"0 = Outsider orientation → self-described misfits, niche subcultures, alternative aesthetics. 1 = Belonger orientation → strong integration in mainstream communities, conventional tastes.
Impact: Influences whether “be different” or “be part of something bigger” messaging lands.",
Aspiration vs. Contentment Scale,"0 = Content / satisfied → simple living, gratitude, mindfulness, low material churn. 1 = Aspiring / striving → career climbing, constant self-improvement, brand-driven.
Impact: Signals openness to elevate/change vs. reinforce/enjoy stability.",
Social Trust Index,"0 = Low trust → conspiracies, skepticism of institutions, privacy paranoia. 1 = High trust → alignment with mainstream authorities, brand/institutional loyalty.
Impact: Tells you if messaging should position against “them” or with trusted institutions.",
Domestic vs. Exploratory Lifestyle,"0 = Home-centered → home improvement, family activities, backyard culture. 1 = Outward/exploratory → frequent travel, adventure hobbies, global curiosity.
Impact: Aligns with comfort & homebuilding vs. adventure & expansion.",
Practical vs. Aesthetic Orientation,"0 = Practical function-first → utility, efficiency, problem-solving content. 1 = Aesthetic-driven → niche design, fashion, artistic expression.
Impact: Messaging should stress durability & function vs. style & image.",
Order vs. Chaos Identity,"0 = Order-seeking → organization tools, structured routines, predictable content. 1 = Chaos-embracing → impulsivity, creative disorder, erratic consumption patterns.
Impact: Dictates whether people resonate with control & structure or freedom & spontaneity",
Self-Improvement vs. Maintenance Mindset,"0 = Maintenance → stability, “good enough,” low self-help engagement. 1 = Growth-focused → heavy self-help, productivity hacking, upskilling, constant change.
Impact: Tells you whether to pitch enhancement or security/maintenance.",
Social Mobility Belief Spectrum,"0 = Fixed worldview → belief in fate, “things never change,” low upward mobility effort. 1 = Growth worldview → belief in upward mobility, American Dream, hustle culture.
Impact: Messaging should emphasize acceptance of reality vs. aspiration for more.",
Tradition vs. Innovation Consumer Axis,"0 = Traditionalist buyer → heritage brands, proven solutions, classic aesthetics. 1 = Innovator buyer → early adopters, beta testers, cutting-edge brands.
Impact: Dictates whether to push legacy/proven products or novelty/newness.",
Engagement Intensity Index,"0 = Passive observer → lurkers, rarely comment/share, light social media. 1 = Active amplifier → super-posters, meme-sharers, activist amplification.
Impact: Key for understanding likelihood of virality and word-of-mouth spread.",
Dependability vs. Opportunism,"0 = Reliable / rule-following → loyalty programs, brand consistency, routine behaviors. 1 = Opportunistic / switcher → deal chasing, app-hopping, impulsive purchases.
Impact: Predicts whether to invest in loyalty-building vs. flash promotions/discounts.",
Experience vs. Possession Orientation,"0 = Experience-seeker → travel, concerts, events, memory-making. 1 = Possession-seeker → cars, luxury goods, home ownership, collectibles.
Impact: Messaging should stress memories/adventure vs. status ownership.",
